USAF,WBAN,STATION_NAME,CTRY,FIPS,STATE,CALL,LAT,LON,ELEV(.1M),BEGIN,END
655850,99999,ADIAKE,IV,IV,NA,DIAD,5300,-3300,390,19500215,20130705
655920,99999,TABOU,IV,IV,NA,DITB,4417,-7367,210,19430601,20130705
655940,99999,SAN_PEDRO,IV,IV,NA,DISP,4750,-6650,300,19780701,20130705
655990,99999,SASSANDRA,IV,IV,NA,DISS,4950,-6083,660,19490402,20130705
656020,99999,SPRIGGS_PAYNE_AIRPO,LI,LI,NA,NA,6333,-10750,120,19740924,20030523
656550,99999,BOGUS_LIBERIAN,LI,LI,NA,NA,NA,NA,NA,19841101,20030520
656570,99999,NA,NA,NA,NA,NA,NA,NA,NA,20011008,20030523
656600,99999,ROBERTS_FIELD,LI,LI,NA,GLRB,6250,-10350,100,19420701,20130705
656620,99999,BOGUS_LIBERIAN,LI,LI,NA,NA,NA,NA,NA,19841101,20040927
656630,99999,BOGUS_LIBERIAN,LI,LI,NA,NA,NA,NA,NA,19841102,20030203
656780,99999,BOGUS_LIBERIAN,LI,LI,NA,NA,NA,NA,NA,19841101,19841101
656850,99999,NA,NA,NA,NA,NA,NA,NA,NA,20031010,20031010
